nohup: ignoring input
Data loaded | train: 200 | val: 40 | split: splitdefault
Trials complétés : 0 / 40 — restants : 40
Epoch 28/300 | train: 0.001936 | val: 0.001690 | lr: 2.86e-05 (no improvement for 1 epochs)
Epoch 29/300 | train: 0.001923 | val: 0.001289 | lr: 2.86e-05 (no improvement for 2 epochs)
Epoch 30/300 | train: 0.002141 | val: 0.003513 | lr: 2.86e-05 (no improvement for 3 epochs)
Epoch 31/300 | train: 0.002454 | val: 0.001146 | lr: 2.86e-05 ✓ best
Epoch 32/300 | train: 0.001869 | val: 0.001236 | lr: 2.86e-05 (no improvement for 1 epochs)
Epoch 33/300 | train: 0.001711 | val: 0.001004 | lr: 2.86e-05 ✓ best
Epoch 34/300 | train: 0.001631 | val: 0.000978 | lr: 2.86e-05 ✓ best
Epoch 35/300 | train: 0.001598 | val: 0.001024 | lr: 2.86e-05 (no improvement for 1 epochs)
Epoch 36/300 | train: 0.001592 | val: 0.001287 | lr: 2.86e-05 (no improvement for 2 epochs)
Epoch 37/300 | train: 0.001560 | val: 0.000876 | lr: 2.86e-05 ✓ best
Epoch 38/300 | train: 0.001586 | val: 0.000930 | lr: 2.86e-05 (no improvement for 1 epochs)
Epoch 39/300 | train: 0.001638 | val: 0.000880 | lr: 2.86e-05 (no improvement for 2 epochs)
Epoch 40/300 | train: 0.001544 | val: 0.000768 | lr: 2.86e-05 ✓ best
Epoch 41/300 | train: 0.001584 | val: 0.001353 | lr: 2.86e-05 (no improvement for 1 epochs)
Epoch 42/300 | train: 0.001587 | val: 0.000863 | lr: 2.86e-05 (no improvement for 2 epochs)
Epoch 43/300 | train: 0.001636 | val: 0.000985 | lr: 2.86e-05 (no improvement for 3 epochs)
Epoch 44/300 | train: 0.001497 | val: 0.000950 | lr: 2.86e-05 (no improvement for 4 epochs)
Epoch 45/300 | train: 0.001585 | val: 0.001316 | lr: 2.86e-05 (no improvement for 5 epochs)
Epoch 46/300 | train: 0.001487 | val: 0.000741 | lr: 2.86e-05 ✓ best
Epoch 47/300 | train: 0.001420 | val: 0.000802 | lr: 2.86e-05 (no improvement for 1 epochs)
Epoch 48/300 | train: 0.001740 | val: 0.000741 | lr: 2.86e-05 (no improvement for 2 epochs)
Epoch 49/300 | train: 0.001507 | val: 0.000904 | lr: 2.86e-05 (no improvement for 3 epochs)
Epoch 50/300 | train: 0.001545 | val: 0.000933 | lr: 2.86e-05 (no improvement for 4 epochs)
Epoch 51/300 | train: 0.001477 | val: 0.001090 | lr: 2.86e-05 (no improvement for 5 epochs)
Epoch 52/300 | train: 0.001528 | val: 0.000853 | lr: 2.86e-05 (no improvement for 6 epochs)
Epoch 53/300 | train: 0.001392 | val: 0.000758 | lr: 2.86e-05 (no improvement for 7 epochs)
Epoch 54/300 | train: 0.001364 | val: 0.000693 | lr: 2.86e-05 ✓ best
Epoch 55/300 | train: 0.001379 | val: 0.000865 | lr: 2.86e-05 (no improvement for 1 epochs)
Epoch 56/300 | train: 0.001390 | val: 0.000834 | lr: 2.86e-05 (no improvement for 2 epochs)
Epoch 57/300 | train: 0.001512 | val: 0.000880 | lr: 2.86e-05 (no improvement for 3 epochs)
Epoch 58/300 | train: 0.001393 | val: 0.000836 | lr: 2.86e-05 (no improvement for 4 epochs)
Epoch 59/300 | train: 0.001507 | val: 0.001038 | lr: 2.86e-05 (no improvement for 5 epochs)
Epoch 60/300 | train: 0.001385 | val: 0.000718 | lr: 2.86e-05 (no improvement for 6 epochs)
Epoch 61/300 | train: 0.001441 | val: 0.000798 | lr: 2.86e-05 (no improvement for 7 epochs)
Epoch 62/300 | train: 0.001496 | val: 0.000810 | lr: 1.43e-05 (no improvement for 8 epochs)
Epoch 63/300 | train: 0.001327 | val: 0.000794 | lr: 1.43e-05 (no improvement for 9 epochs)
Epoch 64/300 | train: 0.001230 | val: 0.000712 | lr: 1.43e-05 (no improvement for 10 epochs)
Epoch 65/300 | train: 0.001199 | val: 0.000766 | lr: 1.43e-05 (no improvement for 11 epochs)
Epoch 66/300 | train: 0.001182 | val: 0.000833 | lr: 1.43e-05 (no improvement for 12 epochs)
Epoch 67/300 | train: 0.001175 | val: 0.000773 | lr: 1.43e-05 (no improvement for 13 epochs)
Epoch 68/300 | train: 0.001181 | val: 0.000729 | lr: 1.43e-05 (no improvement for 14 epochs)
Epoch 69/300 | train: 0.001179 | val: 0.000771 | lr: 1.43e-05 (no improvement for 15 epochs)
Epoch 70/300 | train: 0.001185 | val: 0.000814 | lr: 7.14e-06 (no improvement for 16 epochs)
Epoch 71/300 | train: 0.001156 | val: 0.000771 | lr: 7.14e-06 (no improvement for 17 epochs)
Epoch 72/300 | train: 0.001134 | val: 0.000742 | lr: 7.14e-06 (no improvement for 18 epochs)
Epoch 73/300 | train: 0.001118 | val: 0.000713 | lr: 7.14e-06 (no improvement for 19 epochs)
Epoch 74/300 | train: 0.001119 | val: 0.000728 | lr: 7.14e-06 (no improvement for 20 epochs)
Epoch 75/300 | train: 0.001115 | val: 0.000836 | lr: 7.14e-06 (no improvement for 21 epochs)
Epoch 76/300 | train: 0.001109 | val: 0.000784 | lr: 7.14e-06 (no improvement for 22 epochs)
Epoch 77/300 | train: 0.001112 | val: 0.000749 | lr: 7.14e-06 (no improvement for 23 epochs)
Epoch 78/300 | train: 0.001116 | val: 0.000782 | lr: 3.57e-06 (no improvement for 24 epochs)
Epoch 79/300 | train: 0.001098 | val: 0.000740 | lr: 3.57e-06 (no improvement for 25 epochs)
Epoch 80/300 | train: 0.001084 | val: 0.000747 | lr: 3.57e-06 (no improvement for 26 epochs)
Epoch 81/300 | train: 0.001076 | val: 0.000782 | lr: 3.57e-06 (no improvement for 27 epochs)
Epoch 82/300 | train: 0.001071 | val: 0.000750 | lr: 3.57e-06 (no improvement for 28 epochs)
